requirement_id,story_id,scope
FR-001,US-001,MVP
FR-002,US-002,MVP
FR-003,US-003,MVP
FR-004,US-004,MVP
FR-005,US-005,MVP
FR-006,US-006,Future
FR-007,US-007,MVP
FR-008,US-008,Future
FR-009,US-009,MVP
FR-010,US-010,Future
FR-011,US-011,MVP
FR-012,US-012,Future
FR-013,US-013,MVP
FR-014,US-014,MVP
FR-015,US-015,MVP
FR-016,US-016,Future
FR-017,US-017,Future
FR-018,US-018,MVP
FR-019,US-019,MVP
FR-020,US-020,MVP
FR-021,US-021,MVP
FR-022,US-022,MVP
FR-023,US-023,MVP
NFR-001,NFR-US-001,MVP
NFR-002,NFR-US-002,MVP
NFR-003,NFR-US-003,MVP
NFR-004,NFR-US-004,MVP
NFR-005,NFR-US-005,MVP
NFR-006,NFR-US-006,MVP
NFR-007,NFR-US-007,MVP
NFR-008,NFR-US-008,Future
NFR-009,NFR-US-009,MVP
NFR-010,NFR-US-010,Future
NFR-011,NFR-US-011,MVP
NFR-012,NFR-US-012,MVP
NFR-013,NFR-US-013,MVP
NFR-014,NFR-US-014,Future
NFR-015,NFR-US-015,MVP
NFR-016,NFR-US-016,MVP
NFR-017,NFR-US-017,MVP
