image,digest,role,evidence,resolved
python:3.12-alpine,sha256:b64631e04e4920160c50fbe8d8df828f7f35f06f425cb44aa09bca53e708a35a,ci-job;dockerfile,gitlab-job-16326754650;edge-docker-16326754675,2026-09-05
python:3.12,sha256:cd7c412d000912f29075a1b8803e43cb2f38bb67f104019df526df5ceaf30569,ci-job,gitlab-job-16326754680,2026-09-05
python:3.12-slim-bookworm,sha256:782412e85d0f0984994c290652577d4018aff08145c85b262bb63dc0c7522254,dockerfile,edge-docker-16326754675,2026-09-05
python:3.12-slim,sha256:78387bc3881b8273120a12ebe6c1ab22b018ccc2c9adf565ae1ac9b536e184ea,dockerfile,gitlab-job-16326754683,2026-09-05
cimg/android:2024.04,sha256:03abdefacd626f387ac523715ceee9a956dee9365683b958708427f3d6b51649,ci-job,gitlab-job-16326754667,2026-09-05
docker:27.1.1-cli,sha256:39d10d90ef5f6712e6d956c0b175a814259cc9fbd890cf16661c8093de7b04b1,ci-job,gitlab-job-16326754675,2026-09-05
docker:27.1.1-dind,sha256:a690693976550aba640859bb3c3c29eb323a4f53f684c99b2a8282b14a22308b,ci-service,gitlab-job-16326754675,2026-09-05
node:22-alpine,sha256:c610fcdfb1d5b4740dd70c284ed3cb16bb857e0f7166196e36a5501df7a3aa32,ci-job,gitlab-job-16326754676,2026-09-05
nginx:1.27-alpine,sha256:65645c7bb6a0661892a8b03b89d0743208a18dd2f3f17a54ef4b76fb8e2f2a10,dockerfile,edge-docker-16326754675,2026-09-05
pgvector/pgvector:pg16,sha256:ccc6e83d6e35e931dc7c5def2022729d5a6c370318d099181995567ff1fb4d6b,ci-service;compose,gitlab-job-16326754674,2026-09-05
apache/kafka:3.9.1,sha256:4ceccc577f03f51f6af8dbfda55194d0d892f4fa7913ffbded567ce3895622ed,ci-service;compose,gitlab-job-16326754674,2026-09-05
grafana/grafana:10.4.0,sha256:f9811e4e687ffecf1a43adb9b64096c50bc0d7a782f8608530f478b6542de7d5,compose;dockerfile,kube-prometheus-stack#4382-amd64-image-id,2026-09-05
